"","y","m","ym_num","prov","n","n_pred","margin","n_extra","n_extra_normalized"
"580",1400,8,1400.625,"کرمانشاه",1216,885.400000000004,1023.1766308196,330.599999999996,0.0422492012779548
"581",1400,8,1400.625,"کهگيلويه و بويراحمد",270,196.999999999997,231.446093150502,73.0000000000027,0.04150085275725
"582",1400,8,1400.625,"گلستان",814,758.399999999998,839.050687122509,0,0
"583",1400,8,1400.625,"گيلان",1432,1307,1398.45563587518,124.999999999999,0.0127343113284433
"584",1400,8,1400.625,"لرستان",816,663.400000000004,744.810073086815,152.599999999996,0.0275451263537899
"585",1400,8,1400.625,"مازندران",1410,1319.4,1395.44209360611,90.6000000000004,0.00923735725938014
"586",1400,8,1400.625,"مرکزي",735,602.599999999994,698.644434161133,132.400000000006,0.0246050919903374
"587",1400,8,1400.625,"هرمزگان",550,574.400000000001,644.382855043215,0,0
"588",1400,8,1400.625,"همدان",1100,854.400000000003,921.200199600502,245.599999999997,0.0355942028985503
"589",1400,8,1400.625,"يزد",459,433.799999999999,441.48548415304,25.2000000000007,0.00660031430068118
"590",1400,7,1400.54166666667,"آذربايجان شرقي",3465,2344.20000000001,2738.54046203758,1120.79999999999,0.0678943542524829
"591",1400,7,1400.54166666667,"آذربايجان غربي",2425,1377,1617.19325552563,1048,0.0967414381980984
"592",1400,7,1400.54166666667,"اردبيل",806,690.000000000007,821.603444737091,0,0
"593",1400,7,1400.54166666667,"اصفهان",3616,2380.60000000001,2787.30169248071,1235.39999999999,0.0697138987641778
"594",1400,7,1400.54166666667,"البرز",1589,1118.00000000003,1368.46915977824,470.999999999971,0.0590966122961068
"595",1400,7,1400.54166666667,"ايلام",309,242.999999999998,288.231257628619,66.0000000000018,0.0383944153577672
"596",1400,7,1400.54166666667,"بوشهر",479,424.600000000006,484.362864723847,0,0
"597",1400,7,1400.54166666667,"تهران",8342,5819.40000000002,6668.64586153444,2522.59999999998,0.0595149341763784
"598",1400,7,1400.54166666667,"چهارمحال و بختياري",555,315.599999999999,434.328822673069,239.400000000001,0.0760966306420856
"599",1400,7,1400.54166666667,"خراسان جنوبي",407,386.200000000004,434.037223999732,0,0
"600",1400,7,1400.54166666667,"خراسان رضوي",3737,3184.20000000007,3762.81628044852,0,0
"601",1400,7,1400.54166666667,"خراسان شمالي",567,437.200000000001,529.031004205189,129.799999999999,0.0418574653337631
"602",1400,7,1400.54166666667,"خوزستان",2767,2032.39999999999,2460.31572378993,734.600000000006,0.0505018561803936
"603",1400,7,1400.54166666667,"زنجان",645,486,558.416388568703,159,0.0423661071143086
"604",1400,7,1400.54166666667,"سمنان",416,325.600000000002,400.563991355853,90.3999999999978,0.0379194630872474
"605",1400,7,1400.54166666667,"سيستان و بلوچستان",1283,1355.20000000001,1784.60765402278,0,0
"606",1400,7,1400.54166666667,"فارس",2679,1982.2,2365.79058035011,696.800000000003,0.0463113119766053
"607",1400,7,1400.54166666667,"قزوين",783,613.600000000006,701.134374200469,169.399999999994,0.0386846311943353
"608",1400,7,1400.54166666667,"قم",902,565.599999999999,635.47989696615,336.400000000001,0.0741622574955911
"609",1400,7,1400.54166666667,"کردستان",1128,706.200000000004,822.908183089281,421.799999999996,0.0799924141854723
"610",1400,7,1400.54166666667,"کرمان",1599,1298.8,1547.92941750558,300.199999999997,0.0333555555555552
"611",1400,7,1400.54166666667,"کرمانشاه",1673,1079.20000000001,1339.9036631887,593.799999999988,0.0747576482437352
"612",1400,7,1400.54166666667,"کهگيلويه و بويراحمد",322,284.400000000001,367.352195068406,0,0
"613",1400,7,1400.54166666667,"گلستان",960,873.600000000006,1023.01128917634,0,0
"614",1400,7,1400.54166666667,"گيلان",1712,1549.80000000002,1830.27269623502,0,0
"615",1400,7,1400.54166666667,"لرستان",1097,823.400000000001,984.125023979883,273.599999999999,0.0431750039450842
"616",1400,7,1400.54166666667,"مازندران",1874,1748,2112.66313221931,0,0
"617",1400,7,1400.54166666667,"مرکزي",1015,732,861.080853214823,283,0.0493117267816693
"618",1400,7,1400.54166666667,"هرمزگان",688,686.000000000007,895.092005267226,0,0
"619",1400,7,1400.54166666667,"همدان",1351,1102.20000000001,1294.14304710861,248.799999999988,0.0329405534224796
"620",1400,7,1400.54166666667,"يزد",530,410.200000000001,477.260171985067,119.799999999999,0.0377441713925644
"621",1400,6,1400.45833333333,"آذربايجان شرقي",4047,1788.6,2010.54263523112,2258.4,0.130967292971468
"622",1400,6,1400.45833333333,"آذربايجان غربي",2688,1149.60000000001,1261.80398091572,1538.39999999999,0.136117501327198
"623",1400,6,1400.45833333333,"اردبيل",1373,584.800000000014,709.537591233234,788.199999999986,0.145397528131339
"624",1400,6,1400.45833333333,"اصفهان",4834,1842.60000000001,1997.7029765457,2991.39999999999,0.158015952670223
"625",1400,6,1400.45833333333,"البرز",2173,907.600000000013,978.052821093282,1265.39999999999,0.153960335807274
"626",1400,6,1400.45833333333,"ايلام",441,210.799999999999,236.349951076274,230.200000000001,0.122773333333334
"627",1400,6,1400.45833333333,"بوشهر",860,338.199999999999,393.96498303894,521.800000000001,0.151597908192911
"628",1400,6,1400.45833333333,"تهران",11779,4419.39999999999,4863.89806898717,7359.60000000001,0.161802792129274
"629",1400,6,1400.45833333333,"چهارمحال و بختياري",754,-97.5999999999767,430.43522609774,851.599999999977,0.211788112409842
"630",1400,6,1400.45833333333,"خراسان جنوبي",549,295.40000000001,399.916027479052,253.59999999999,0.0970531955606546
"631",1400,6,1400.45833333333,"خراسان رضوي",7494,2350.19999999998,2706.0327322399,5143.80000000002,0.208200437140777
"632",1400,6,1400.45833333333,"خراسان شمالي",1099,438.000000000015,503.625198412406,660.999999999985,0.176832530765111
"633",1400,6,1400.45833333333,"خوزستان",4862,1609.19999999999,1753.56204487329,3252.80000000001,0.196129032258065
"634",1400,6,1400.45833333333,"زنجان",813,403.799999999997,453.33517268904,409.200000000003,0.109207365892715
"635",1400,6,1400.45833333333,"سمنان",554,305.200000000004,328.782479372054,248.799999999996,0.0990051730998789
"636",1400,6,1400.45833333333,"سيستان و بلوچستان",2004,937.599999999969,1245.37307657858,1066.40000000003,0.113968152185533
"637",1400,6,1400.45833333333,"فارس",3712,1732.4,1932.78895511813,1979.6,0.118460894021902
"638",1400,6,1400.45833333333,"قزوين",1237,435.999999999998,509.73013856852,801.000000000002,0.165838509316771
"639",1400,6,1400.45833333333,"قم",1454,498.799999999997,543.509432263597,955.200000000003,0.192852816474864
"640",1400,6,1400.45833333333,"کردستان",1073,551.000000000004,660.556073922601,521.999999999996,0.0973517344274518
"641",1400,6,1400.45833333333,"کرمان",2562,1058.40000000001,1244.32184738039,1503.59999999999,0.147094502054392
"642",1400,6,1400.45833333333,"کرمانشاه",1999,880.600000000001,956.616664839583,1118.4,0.132842380330205
"643",1400,6,1400.45833333333,"کهگيلويه و بويراحمد",497,250.600000000002,289.558097147236,246.399999999998,0.113758079409048
"644",1400,6,1400.45833333333,"گلستان",2143,694.599999999999,745.908218964736,1448.4,0.198275154004107
"645",1400,6,1400.45833333333,"گيلان",3069,1422.00000000002,1586.574603144,1646.99999999998,0.128772478498826
"646",1400,6,1400.45833333333,"لرستان",1598,768.600000000004,840.529595207169,829.399999999996,0.121062618595825
"647",1400,6,1400.45833333333,"مازندران",3233,1332.80000000001,1490.11539445756,1900.19999999999,0.1458886756238
"648",1400,6,1400.45833333333,"مرکزي",1172,658.99999999999,800.54198434857,513.00000000001,0.0874233128834373
"649",1400,6,1400.45833333333,"هرمزگان",1171,457.399999999994,486.103077651467,713.600000000006,0.147957702674685
"650",1400,6,1400.45833333333,"همدان",1669,855.799999999999,937.458639061236,813.200000000001,0.105775234131114
"651",1400,6,1400.45833333333,"يزد",621,396.400000000002,443.529608527975,224.599999999998,0.0633211164364246
"652",1400,5,1400.375,"آذربايجان شرقي",2211,1861,2300.66714682814,0,0
"653",1400,5,1400.375,"آذربايجان غربي",1570,1172.6,1274.83306705758,397.400000000001,0.0356732495511671
"654",1400,5,1400.375,"اردبيل",726,508.6,575.072049263833,217.4,0.0426692836113836
"655",1400,5,1400.375,"اصفهان",3290,2161.40000000001,2262.9112473243,1128.59999999999,0.0621509995043775
"656",1400,5,1400.375,"البرز",2023,1011.8,1114.96782444154,1011.2,0.113363228699551
"657",1400,5,1400.375,"ايلام",289,168.799999999999,182.516170505404,120.200000000001,0.0667777777777782
"658",1400,5,1400.375,"بوشهر",721,308,359.928155497122,413,0.123210023866348
